0,1,1275.08,429.98,47.25,101.93,0.85,-1,-1,-1
0,2,1270.35,382.73,35.10,109.35,0.82,-1,-1,-1
0,3,1308.15,402.98,43.20,110.70,0.81,-1,-1,-1
1,1,1281.01,429.39,47.09,101.93,0.79,-1,-1,-1
1,2,1269.76,383.31,35.10,109.35,0.85,-1,-1,-1
1,3,1300.99,402.68,43.46,111.87,0.80,-1,-1,-1
2,1,1281.66,428.24,47.80,104.03,0.84,-1,-1,-1
2,2,1269.22,383.94,34.94,108.82,0.89,-1,-1,-1
2,3,1302.84,403.16,42.59,109.98,0.84,-1,-1,-1
3,1,1281.38,428.65,47.77,104.69,0.83,-1,-1,-1
3,2,1268.54,384.38,34.89,108.66,0.89,-1,-1,-1
3,3,1302.72,403.05,41.94,108.83,0.85,-1,-1,-1
4,1,1280.27,428.82,47.67,105.35,0.84,-1,-1,-1
4,2,1267.84,384.50,34.89,108.62,0.89,-1,-1,-1
4,3,1301.52,403.01,41.08,107.51,0.85,-1,-1,-1
5,1,1279.68,429.13,47.04,105.06,0.85,-1,-1,-1
5,2,1267.14,384.77,34.90,108.62,0.89,-1,-1,-1
5,3,1300.55,402.99,40.06,106.14,0.86,-1,-1,-1
6,1,1277.55,429.24,46.87,105.38,0.80,-1,-1,-1
6,2,1266.52,384.84,34.77,108.15,0.89,-1,-1,-1
6,3,1298.75,402.75,40.80,110.02,0.84,-1,-1,-1
7,1,1273.88,428.82,48.93,111.04,0.82,-1,-1,-1
7,2,1265.84,384.86,34.74,107.99,0.89,-1,-1,-1
7,3,1297.95,402.43,40.56,111.39,0.85,-1,-1,-1
8,1,1271.34,428.89,49.44,113.51,0.85,-1,-1,-1
8,2,1265.09,384.85,34.89,108.40,0.87,-1,-1,-1
8,3,1297.71,402.32,39.52,110.53,0.84,-1,-1,-1
9,1,1269.87,428.48,49.80,115.29,0.85,-1,-1,-1
9,2,1264.51,385.07,34.68,107.64,0.86,-1,-1,-1
9,3,1297.37,402.28,38.84,110.66,0.84,-1,-1,-1
10,1,1268.91,428.54,49.93,116.36,0.85,-1,-1,-1
10,2,1263.53,385.60,34.37,106.46,0.86,-1,-1,-1
10,3,1295.80,402.72,38.83,112.51,0.82,-1,-1,-1
11,1,1268.56,429.02,50.04,117.14,0.82,-1,-1,-1
11,2,1263.04,385.78,33.66,103.75,0.87,-1,-1,-1
11,3,1293.85,402.89,39.84,116.79,0.81,-1,-1,-1
12,1,1268.44,429.64,50.15,117.38,0.82,-1,-1,-1
12,2,1262.27,385.84,33.73,103.22,0.87,-1,-1,-1
12,3,1292.42,402.95,39.89,117.50,0.81,-1,-1,-1
13,1,1268.24,430.77,49.67,116.09,0.83,-1,-1,-1
13,2,1260.27,385.86,34.52,104.41,0.87,-1,-1,-1
13,3,1291.41,403.19,40.04,118.18,0.82,-1,-1,-1
14,1,1269.11,431.20,49.46,115.09,0.86,-1,-1,-1
